nbeo,code
1602,618120
1603,604720
1604,668360
1605,624000
1606,663841
1607,626530
1608,618120
1609,618120
1610,604300
1611,618120
1612,618120
1613,668340
4237,624000
4238,604710
4239,604710
4240,632831
4241,632831
4242,632831
1614,618120
1615,604720
1616,624000
1617,618120
1618,632831
1619,618120
1621,604710
1622,632831
6219,624000
6220,605200
6221,624000
6222,624000
6223,659800
6224,624000
6225,604720
1364,604210
1365,622210
1367,628100
4243,632831
4244,632831
4245,632831
4246,618120
4247,624000
4248,618120
4249,632831
1368,631000
1369,604210
1370,618120
1371,605100
1372,659800
1374,605200
1375,659800
1376,605200
3227,624000
1623,624000
1625,618120
1626,604710
1627,604720
1628,632831
1629,618120
1630,632831
1631,624000
1632,618120
4250,604210
4801,618120
4802,624000
4803,618120
4804,632860
4805,618120
3225,638410
3990,632860
3991,659800
1633,618120
1582,668340
1583,632831
1591,632831
1592,668360
1634,618120
1635,624000
1636,604710
1637,618120
1638,618120
1639,618120
1640,604720
4806,618120
4807,632860
4808,659800
4809,624000
4810,624000
4811,624000
4812,604210
4813,604710
4814,605200
4815,618120
4816,618120
4817,604210
4818,659800
4819,618120
4820,618120
6226,604710
6227,624000
6228,604710
6229,624000
6230,659800
6231,604710
6232,604710
1377,659800
1373,604720
1378,659800
1379,604710
1380,604720
1381,604720
1382,604720
1383,604720
1386,632831
1387,632831
1388,632831
1389,618120
1301,604130
4821,628100
4822,605200
4823,624000
1641,624000
1642,618120
1643,624000
1644,618120
1645,618120
1646,618120
6233,604710
6234,604710
6235,618120
6236,632860
6237,632831
6238,668360
6239,659800
1390,632831
1391,632831
3108,632831
1397,659800
1398,661257
1399,624000
1400,631000
1302,628100
1304,628100
1647,626530
1648,604210
1649,663841
4051,659800
4052,618120
4053,618120
4054,663841
4055,659800
6240,632831
6241,604300
6242,624000
6243,624000
6244,628100
6245,604710
6246,624000
4060,618120
4061,631000
4062,604710
4064,618120
4059,618120
4832,661257
4833,628100
4834,604130
1303,628100
1305,618120
1306,628100
1307,624000
1308,663841
1309,604710
1310,663841
1311,624000
